dislikes,hashtags,likes,nickname,title,views
4,"europa,ukraina,rosja,wojna,ruskimir,wydarzenia",1473,Szu_,Atak na rosyjski magazyn amunicji. Nawet 70 zabitych!!!,10.2 tys.
41,"europa,rosja,ukraina,wojna",586,szyna352,"""Co wybierze Putin?"". Nie ma kto gasić ogromnych pożarów na Syberii",10.2 tys.
7,"swiat,twitter,internet,elonmusk,gielda,inwestycje",3443,kasza332,Elon Musk dopiął swego. Twitter akceptuje warunki sprzedaży,35.3 tys.
8,"polska,ukraina,rosja,wojna,wydarzenia,militaria",1578,Szu_,Polska przekazała czołgi Ukrainie. Morawiecki: nie mogę powiedzieć więcej,20 tys.
5,"polityka,swiat,usa,rosja,ukraina,wojna,wydarzenia",442,Szewczenko,"USA wstrzymują sankcje wobec partnerki Putina z obawy o ""eskalację konfliktu""",6.6 tys.
1,"swiat,usa,rosja,ukraina,wojna,bron",1760,Kolekcjoner_dusz,"Ambasador Rosji w USA: Żądamy, żeby Waszyngton nie wysyłał broni Ukrainie",17 tys.
9,"polska,szpital,koronawirus,covid19,zdrowie",401,wojna,Dramatyczny skutek pandemii. Pacjenci późno trafiają do lekarzy,3.4 tys.
5,"ukraina,wojna,rosja",338,ssakul,Putin zignorował prośby o świąteczne zawieszenie broni,2.8 tys.
1,"europa,swiat,ukraina,ruskimir,wojna,rosja",336,paramedix,Ukraiński sztab: Rosjanie rozlokowali Iskandery 60 km od granicy,3.1 tys.
4,"europa,rosja,wojna,ukraina,ruskimir,ruskapropaganda",448,SzotyTv,Takie straty odnotowuje Rosja. Pułki lotnictwa szturmowego zostały upokorzone,6.4 tys.
5,"polska,ukraina,wojna,polityka,rosja,gospodarka",222,Szu_,"Premierzy Polski i Ukrainy spotkali się w Krakowie. ""Podpisaliśmy...",4.5 tys.
3,"polska,wojna,bron,ciekawostki,wojsko,wojskopolskie",453,Saeglopur,Polska marynarka: 2 min pokazowy film z ćwiczeń na oficjalnym kanale SAAB,6.9 tys.
52,"europa,ukraina,beksinski,python,sztucznainteligencja,grafika",427,Rainforest,"Zdzisław Beksiński: ""Nadzieja na zgliszczach"". Obrazy AI w hołdzie dla...",9.4 tys.
66,"swiat,rosja,wojna,ciekawostki,heheszki,cocacola",1601,Wilson_,Ostatnia paleta,16.5 tys.
9,"kultura,rozrywka,swiat",531,JohnnyPL,Wiedział kiedy zejść ze sceny. 85 lat temu urodził się Jack Nicholson,8.7 tys.
6,"europa,wlochy,ukraina,wojna,medycyna",421,szyna352,Włoscy chirurdzy uratowali 11latka z Ukrainy. Miał odłamek moździerza koło serca,2.2 tys.
10,"polska,rosja,ekonomia,wojna",462,hopex,Rosja zakręci Polsce kurek z gazem? Mija termin,8.3 tys.
5,"usa,oxycontin,uzaleznienie,narkotyki,ciekawostki,gruparatowaniapoziomu",706,dynx,"Sacklerowie. Rodzina, która wywołała epidemię uzależnień (Purdue Pharma)",8.9 tys.
12,"rosja,ukraina,wojna",3376,yosemitesam,Ukraina powołała komando do likwidacji rosyjskich zbrodniarzy wojennych...,24.4 tys.
1,"polska,gospodarka,ekonomia,bekazpisu,polityka,finanse",444,hugoprat,Dług poza budżetem rośnie jak na drożdżach. Rząd dryfuje w niebezpieczne rejony,3.2 tys.
0,"polska,europa,ekonomia,gospodarka,swiat,hutnictwo",448,DzonySiara,Huta Cynku Miasteczko Śląskie chce zacząć produkować german,3.8 tys.
0,"europa,ukraina,wojna,rosja,japonia,indie",617,OsiemPiec,Indie wydają zgodę na lądowanie japońskich samolotów z pomocą dla Ukrainy,3.9 tys.
6,"polityka,wojna,ukraina,rosja,ciekawostkihistoryczne,gruparatowaniapoziomu,historia",398,Lookazz,OSOBISTY WRÓG PUTINA - ALEKSANDER LITWINIENKO | DOKUMENT,5.3 tys.
9,"sport,tenis,ukraina,rosja,swiat,wojna",474,Truestory21,Ukraińskie tenisistki chcą wykluczenia Rosjan i Białorusinów popierających wojnę,2.2 tys.
4,"europa,uniaeuropejska,polska,pegasus,inwigilacja,komisjasledcza",476,rol-ex,Afera z Pegasusem w tle: europejskie śledztwo w sprawie podsłuchów,1.7 tys.
32,"europa,rosja,ukraina,wojna,wojsko,wydarzenia",283,KapitanTorpedal,"Rakieta ""Szatan 2"" jest w stanie zmieść Paryż? Kraszewski: Jest w stanie o...",17.9 tys.
25,"europa,wlochy,rosja,ukraina,wojna,ekonomia",1813,Szewczenko,"""Krwawy sos"". Znany włoski producent makaronu wciąż nie wychodzi z Rosji",4.9 tys.
2,"swiat,europa,ukraina,wojna,rosja,lotwa",636,NieobliczalneZieloneKonto,Łotwa: Rosja dokonuje na Ukrainie ludobójstwa,1.7 tys.
1,"swiat,chiny,rosja,ukraina,wojna,ekonomia",1454,Szewczenko,„Chińska Visa” odmawia współpracy z bankami w Rosji,4.9 tys.
3,"polityka,swiat,azja,chiny,indie,rosja,geopolityka",264,rol-ex,Chiny i Indie ratują Rosję przed upadkiem gospodarczym,4.5 tys.
4,"swiat,zwierzaczki,smiesznypiesek,ciekawostki,kamerasportowa,gopro",427,putinn,W środku rekina.,4.8 tys.
12,"europa,wojna,ukraina,rosja,polityka,bekazprawakow",490,Bukov,Węgrzy organizują prorosyjski marsz w Budapeszcie.,3.9 tys.
15,"europa,ukraina,wojna,rosja,propaganda,kosciol",531,dr00,"""Rosja ma wielu przyjaciół w istotnych miejscach"". Ekspertka:  Kreml finansuj...",3.2 tys.
1,"polska,prawo,slask,afera,pieniadze,oszukujo",603,Kolekcjoner_dusz,Za wypadek wypłacono 160 tys. zł. Pieniędzy nie zobaczył,7.3 tys.
1,"europa,wegry,energetyka,rosja,ukraina,wydarzenia",375,Szewczenko,Węgry potwierdzają: Dostaliśmy nową porcję paliwa nuklearnego z Rosji,4.6 tys.
4,"europa,ukraina,rosja,wojna,swiat,wojsko",266,NieobliczalneZieloneKonto,"Ukraina i Rosja wymieniły się jeńcami. Czasem za ""ważnego"" człowieka...",3.7 tys.
5,"rosja,wojna,ukraina",570,konradpra,Amerykański P-8 Poseidon patrolował przestrzeń w czasie ataku na Moskwę.,11.7 tys.
2,"swiat,hiszpania,informatyka,malware,spyware,pegasus",415,Mercurius,Masowy atak izraelskim złośliwym oprogramowaniem na katalońskich polityków,2.4 tys.
26,"rosja,swiat,ekonomia",435,Speed666,Dla tych co uważają że sankcje nie działają bo kurs wysoki. Polecam oglądnąć.,9.9 tys.
1,"europa,polska,koronawirus,covid19,medycyna,bekazpisu",364,Szewczenko,KE odpowiada Niedzielskiemu ws. szczepionek: Stanowisko Polski oznacza problemy,9.1 tys.
16,"rower,szosa,gravel,kolarstwo,wroclaw,wykopefekt",625,VolorFlex,"Wrocław, skradziono rower i sprzęt elektroniczny z mieszkania",11.3 tys.
32,"europa,francja,polityka,rosja,wojna,portugalia",354,PatrikoXD,Portugalia: wygrana Le Pen we Francji może doprowadzić do końca UE,5.9 tys.
1,"europa,grecja,rosja,ukraina,statki,wojna",1224,Szewczenko,Greckie władze zajęły rosyjski tankowiec w ramach sankcji nałożonych na Moskwę,3.4 tys.
4,"ukraina,wojna,rosja",452,ssakul,Ukraińcy potwierdzają intensywne bombardowania i utratę miasta Kreminna,8.2 tys.
4,"swiat,niemcy,rosja,ukraina,bron,wojna",512,Kolekcjoner_dusz,"Potrzebujemy ciężkiej broni z Niemiec, każde opóźnienie kosztuje ludzkie życie",2.8 tys.
